ensemble_size, batch_size, trial_num, h2d (ms), kernel (ms), d2h (ms)
999, 8, 17, 0.0056, 0.007968, 0.017568
999, 8, 18, 0.007072, 0.012288, 0.019456
999, 8, 19, 0.006368, 0.00848, 0.017248
999, 8, 20, 0.006208, 0.008192, 0.016576
999, 8, 21, 0.005536, 0.009184, 0.020544
999, 8, 22, 0.005728, 0.009024, 0.01744
999, 8, 23, 0.00624, 0.008192, 0.016992
999, 8, 24, 0.00592, 0.008192, 0.01552
999, 8, 25, 0.005856, 0.008192, 0.0168
999, 8, 26, 0.005376, 0.00896, 0.01568
999, 8, 27, 0.005632, 0.007968, 0.017376
999, 8, 28, 0.005824, 0.008416, 0.016672
999, 8, 29, 0.005376, 0.008992, 0.015552
999, 8, 30, 0.0056, 0.009216, 0.017152
999, 8, 31, 0.005984, 0.008192, 0.01584
999, 8, 32, 0.005792, 0.008352, 0.016992
999, 8, 33, 0.005408, 0.00816, 0.016096
999, 8, 34, 0.00576, 0.008192, 0.0176
999, 8, 35, 0.005408, 0.009152, 0.015456
999, 8, 36, 0.00544, 0.008352, 0.017984
999, 8, 37, 0.005824, 0.008352, 0.01584
999, 8, 38, 0.005888, 0.008192, 0.017472
999, 8, 39, 0.005792, 0.008192, 0.015616
999, 8, 40, 0.005472, 0.008192, 0.017024
999, 8, 41, 0.005376, 0.008288, 0.016704
999, 8, 42, 0.006048, 0.008192, 0.016864
999, 8, 43, 0.005472, 0.009088, 0.015584
999, 8, 44, 0.005344, 0.009024, 0.016352
999, 8, 45, 0.005888, 0.008192, 0.017376
999, 8, 46, 0.0056, 0.008416, 0.01616
999, 8, 47, 0.005792, 0.008192, 0.01712
999, 8, 48, 0.005856, 0.008192, 0.016192
999, 8, 49, 0.005856, 0.008192, 0.015296
999, 16, 0, 0.005824, 0.009216, 0.034656
999, 16, 1, 0.006176, 0.00928, 0.02848
999, 16, 2, 0.006016, 0.008192, 0.026848
999, 16, 3, 0.005536, 0.009184, 0.026016
999, 16, 4, 0.005792, 0.008224, 0.026848
999, 16, 5, 0.005696, 0.008192, 0.026816
999, 16, 6, 0.00592, 0.008192, 0.028512
999, 16, 7, 0.005856, 0.008192, 0.026528
999, 16, 8, 0.005824, 0.008192, 0.026528
999, 16, 9, 0.00592, 0.008192, 0.030848
999, 16, 10, 0.00544, 0.009216, 0.026752
999, 16, 11, 0.00608, 0.008192, 0.0264
999, 16, 12, 0.005632, 0.008288, 0.028288
999, 16, 13, 0.00592, 0.008192, 0.026368
999, 16, 14, 0.005888, 0.008288, 0.026848
999, 16, 15, 0.005472, 0.008896, 0.02832
999, 16, 16, 0.005504, 0.009056, 0.028064
999, 16, 17, 0.005472, 0.009152, 0.026272
999, 16, 18, 0.005376, 0.008896, 0.027296
999, 16, 19, 0.005824, 0.008192, 0.028512
999, 16, 20, 0.00576, 0.009056, 0.026432
999, 16, 21, 0.006208, 0.008192, 0.027904
999, 16, 22, 0.00544, 0.008448, 0.028512
999, 16, 23, 0.005696, 0.008192, 0.026336
999, 16, 24, 0.005408, 0.009056, 0.027648
999, 16, 25, 0.005888, 0.008192, 0.029536
999, 16, 26, 0.005952, 0.012288, 0.028672
999, 16, 27, 0.005408, 0.00896, 0.028
999, 16, 28, 0.005376, 0.00896, 0.026016
999, 16, 29, 0.005344, 0.008128, 0.02912
999, 16, 30, 0.005728, 0.008192, 0.026848
999, 16, 31, 0.00544, 0.008864, 0.028
999, 16, 32, 0.005408, 0.012288, 0.027456
999, 16, 33, 0.005472, 0.008192, 0.027008
999, 16, 34, 0.005504, 0.009184, 0.031296
999, 16, 35, 0.006048, 0.009216, 0.026624
999, 16, 36, 0.005408, 0.008512, 0.02896
999, 16, 37, 0.006112, 0.008192, 0.0264
999, 16, 38, 0.005728, 0.008192, 0.027296
999, 16, 39, 0.00592, 0.008192, 0.026592
999, 16, 40, 0.005568, 0.008576, 0.02896
999, 16, 41, 0.00608, 0.008192, 0.026304
999, 16, 42, 0.005888, 0.008192, 0.030656
999, 16, 43, 0.005952, 0.008448, 0.028608
999, 16, 44, 0.005472, 0.008096, 0.02848
999, 16, 45, 0.005952, 0.008192, 0.026528
999, 16, 46, 0.005472, 0.00848, 0.02704
999, 16, 47, 0.006176, 0.008192, 0.026336
999, 16, 48, 0.005632, 0.008288, 0.028832
999, 16, 49, 0.005568, 0.008512, 0.026176
999, 32, 0, 0.0056, 0.010464, 0.047904
999, 32, 1, 0.005728, 0.010272, 0.04704
999, 32, 2, 0.005504, 0.010112, 0.050208
999, 32, 3, 0.005952, 0.009568, 0.047456
999, 32, 4, 0.005696, 0.01024, 0.046464
999, 32, 5, 0.005696, 0.01008, 0.047328
999, 32, 6, 0.00576, 0.01024, 0.046688
999, 32, 7, 0.00592, 0.009472, 0.048704
999, 32, 8, 0.006016, 0.009216, 0.050336
999, 32, 9, 0.005856, 0.009216, 0.046784
999, 32, 10, 0.005792, 0.00992, 0.0504
999, 32, 11, 0.00544, 0.010048, 0.046816
999, 32, 12, 0.0056, 0.009856, 0.051104
999, 32, 13, 0.00576, 0.010016, 0.046528
999, 32, 14, 0.005856, 0.010144, 0.047648
999, 32, 15, 0.005792, 0.01024, 0.046144
999, 32, 16, 0.005696, 0.010176, 0.046976
999, 32, 17, 0.0056, 0.01024, 0.04704
999, 32, 18, 0.006016, 0.01024, 0.046976
999, 32, 19, 0.0056, 0.010016, 0.046752
999, 32, 20, 0.00608, 0.009376, 0.050496
999, 32, 21, 0.006048, 0.009312, 0.050336
999, 32, 22, 0.00544, 0.010208, 0.047072
999, 32, 23, 0.005888, 0.009504, 0.050688
999, 32, 24, 0.005824, 0.009216, 0.047584
999, 32, 25, 0.00576, 0.01024, 0.049472
999, 32, 26, 0.00544, 0.00992, 0.046752
999, 32, 27, 0.006112, 0.009536, 0.046624
999, 32, 28, 0.005792, 0.01024, 0.05312
999, 32, 29, 0.006208, 0.01024, 0.050496
999, 32, 30, 0.005376, 0.01008, 0.049952
999, 32, 31, 0.005952, 0.009216, 0.047008
999, 32, 32, 0.006016, 0.009504, 0.049696
999, 32, 33, 0.005856, 0.01024, 0.046016
999, 32, 34, 0.005504, 0.01024, 0.049984
999, 32, 35, 0.006176, 0.011264, 0.051008
999, 32, 36, 0.005504, 0.009888, 0.050592
999, 32, 37, 0.005984, 0.009216, 0.047456
999, 32, 38, 0.00544, 0.010912, 0.047264
999, 32, 39, 0.0064, 0.009216, 0.056256
999, 32, 40, 0.00544, 0.010912, 0.050112
999, 32, 41, 0.00704, 0.01264, 0.047936
999, 32, 42, 0.006208, 0.009216, 0.050944
999, 32, 43, 0.006176, 0.009216, 0.046624
999, 32, 44, 0.0056, 0.009888, 0.047168
999, 32, 45, 0.005472, 0.010048, 0.050976
999, 32, 46, 0.005888, 0.01024, 0.046496
999, 32, 47, 0.006112, 0.009216, 0.052928
999, 32, 48, 0.005952, 0.01024, 0.04816
999, 32, 49, 0.006048, 0.009216, 0.05008
999, 64, 0, 0.00624, 0.014336, 0.09248
999, 64, 1, 0.00592, 0.014048, 0.093568
999, 64, 2, 0.00608, 0.014336, 0.086432
999, 64, 3, 0.006304, 0.013312, 0.087296
999, 64, 4, 0.00592, 0.014336, 0.110496
999, 64, 5, 0.005888, 0.01536, 0.097792
999, 64, 6, 0.005632, 0.015072, 0.086688
999, 64, 7, 0.005664, 0.014208, 0.087552
999, 64, 8, 0.005632, 0.014176, 0.098048
999, 64, 9, 0.005664, 0.01536, 0.094496
999, 64, 10, 0.005696, 0.014336, 0.086432
999, 64, 11, 0.00624, 0.013312, 0.087008
999, 64, 12, 0.005664, 0.014016, 0.086816
999, 64, 13, 0.006208, 0.014336, 0.086624
999, 64, 14, 0.006208, 0.013696, 0.092384
999, 64, 15, 0.005696, 0.013984, 0.09424
999, 64, 16, 0.005984, 0.014336, 0.096192
999, 64, 17, 0.005824, 0.014304, 0.093472
999, 64, 18, 0.005856, 0.014336, 0.09296
999, 64, 19, 0.0056, 0.014336, 0.086752
999, 64, 20, 0.006176, 0.014592, 0.093824
999, 64, 21, 0.005728, 0.014144, 0.092992
999, 64, 22, 0.005856, 0.013312, 0.087488
999, 64, 23, 0.006304, 0.013312, 0.086816
999, 64, 24, 0.00608, 0.013312, 0.088288
999, 64, 25, 0.006208, 0.013504, 0.086624
999, 64, 26, 0.006048, 0.013312, 0.092864
999, 64, 27, 0.00592, 0.014336, 0.093184
999, 64, 28, 0.0064, 0.013664, 0.092832
999, 64, 29, 0.006464, 0.013312, 0.086848
999, 64, 30, 0.005824, 0.018432, 0.097696
999, 64, 31, 0.0064, 0.01536, 0.093056
999, 64, 32, 0.005472, 0.014272, 0.093184
999, 64, 33, 0.006336, 0.0136, 0.087584
999, 64, 34, 0.005696, 0.015104, 0.093344
999, 64, 35, 0.006048, 0.014528, 0.09536
999, 64, 36, 0.00544, 0.014048, 0.087168
999, 64, 37, 0.005536, 0.014016, 0.087072
999, 64, 38, 0.005792, 0.014336, 0.09792
999, 64, 39, 0.006272, 0.014336, 0.094112
999, 64, 40, 0.006112, 0.013504, 0.093792
999, 64, 41, 0.006272, 0.014336, 0.086176
999, 64, 42, 0.005824, 0.014336, 0.093696
999, 64, 43, 0.006176, 0.013312, 0.087168
999, 64, 44, 0.005536, 0.014336, 0.094144
999, 64, 45, 0.005952, 0.014336, 0.08544
999, 64, 46, 0.0064, 0.014336, 0.09408
999, 64, 47, 0.006208, 0.013312, 0.086688
999, 64, 48, 0.005504, 0.014368, 0.093024
999, 64, 49, 0.005856, 0.014336, 0.08608
999, 100, 0, 0.006016, 0.019456, 0.130304
999, 100, 1, 0.006016, 0.018432, 0.131232
999, 100, 2, 0.0056, 0.019424, 0.151104
999, 100, 3, 0.005856, 0.019104, 0.14048
999, 100, 4, 0.006304, 0.018432, 0.140448
999, 100, 5, 0.006048, 0.018432, 0.131936
999, 100, 6, 0.006368, 0.019456, 0.141088
999, 100, 7, 0.00608, 0.019424, 0.144
999, 100, 8, 0.005824, 0.018432, 0.15744
999, 100, 9, 0.005984, 0.019136, 0.140192
999, 100, 10, 0.00608, 0.018432, 0.150752
999, 100, 11, 0.007136, 0.022528, 0.141888
999, 100, 12, 0.006144, 0.019424, 0.141632
999, 100, 13, 0.006112, 0.018432, 0.136096
999, 100, 14, 0.005888, 0.01936, 0.15408
999, 100, 15, 0.006176, 0.018432, 0.13056
999, 100, 16, 0.006112, 0.018432, 0.16016
999, 100, 17, 0.005888, 0.019296, 0.141728
999, 100, 18, 0.00544, 0.019456, 0.140736
999, 100, 19, 0.005792, 0.018368, 0.131808
999, 100, 20, 0.0056, 0.018464, 0.141696
999, 100, 21, 0.006496, 0.018432, 0.1392
999, 100, 22, 0.006464, 0.018816, 0.141376
999, 100, 23, 0.006368, 0.018432, 0.13024
999, 100, 24, 0.0056, 0.019456, 0.140992
999, 100, 25, 0.006272, 0.018432, 0.130688
999, 100, 26, 0.005824, 0.018432, 0.157216
999, 100, 27, 0.006432, 0.018656, 0.141088
999, 100, 28, 0.005856, 0.0192, 0.140384
999, 100, 29, 0.006176, 0.018432, 0.130944
999, 100, 30, 0.006368, 0.018432, 0.149152
999, 100, 31, 0.005472, 0.019456, 0.135968
999, 100, 32, 0.006048, 0.019456, 0.152128
999, 100, 33, 0.005856, 0.018432, 0.13152
999, 100, 34, 0.005344, 0.019456, 0.150464
999, 100, 35, 0.006336, 0.018528, 0.132448
999, 100, 36, 0.0056, 0.01872, 0.145376
999, 100, 37, 0.006016, 0.018432, 0.132352
999, 100, 38, 0.005824, 0.018432, 0.150816
999, 100, 39, 0.005824, 0.018624, 0.141824
999, 100, 40, 0.006176, 0.01872, 0.151584
999, 100, 41, 0.006048, 0.019072, 0.131264
999, 100, 42, 0.005888, 0.018432, 0.15056
999, 100, 43, 0.006016, 0.018272, 0.132576
999, 100, 44, 0.00576, 0.018464, 0.151616
999, 100, 45, 0.006368, 0.018432, 0.147264
