ensemble_size, batch_size, trial_num, predict (ms)
999,4,41,0.372753
999,4,42,0.334221
999,4,43,0.322462
999,4,44,0.313001
999,4,45,0.345092
999,4,46,0.355482
999,4,47,0.329462
999,4,48,0.321791
999,4,49,0.319781
999,8,0,0.390364
999,8,1,0.369493
999,8,2,0.370813
999,8,3,0.362252
999,8,4,0.361342
999,8,5,0.350942
999,8,6,0.354782
999,8,7,0.349372
999,8,8,0.351123
999,8,9,0.350222
999,8,10,0.344802
999,8,11,0.345823
999,8,12,0.340972
999,8,13,0.339361
999,8,14,0.343261
999,8,15,0.335151
999,8,16,0.333762
999,8,17,0.342142
999,8,18,0.331512
999,8,19,0.331781
999,8,20,0.375423
999,8,21,0.381153
999,8,22,0.381154
999,8,23,0.376313
999,8,24,0.359752
999,8,25,0.357422
999,8,26,0.352983
999,8,27,0.342672
999,8,28,0.342032
999,8,29,0.336792
999,8,30,0.333591
999,8,31,0.341052
999,8,32,0.343122
999,8,33,0.338752
999,8,34,0.339661
999,8,35,0.333771
999,8,36,0.333172
999,8,37,0.347182
999,8,38,0.452616
999,8,39,0.340152
999,8,40,0.343642
999,8,41,0.384824
999,8,42,0.351552
999,8,43,0.356773
999,8,44,0.345422
999,8,45,0.345052
999,8,46,0.344292
999,8,47,0.340512
999,8,48,0.350333
999,8,49,0.343632
999,16,0,0.448906
999,16,1,0.442245
999,16,2,0.425615
999,16,3,0.428405
999,16,4,0.431075
999,16,5,0.426355
999,16,6,0.415774
999,16,7,0.427855
999,16,8,0.444235
999,16,9,0.429395
999,16,10,0.433925
999,16,11,0.449176
999,16,12,0.436756
999,16,13,0.420824
999,16,14,0.433595
999,16,15,0.438805
999,16,16,0.425925
999,16,17,0.429745
999,16,18,0.416415
999,16,19,0.432785
999,16,20,0.418335
999,16,21,0.425265
999,16,22,0.437136
999,16,23,0.414364
999,16,24,0.417545
999,16,25,0.438035
999,16,26,0.432316
999,16,27,0.421485
999,16,28,0.419505
999,16,29,0.513738
999,16,30,0.401524
999,16,31,0.438606
999,16,32,0.419485
999,16,33,0.425505
999,16,34,0.422114
999,16,35,0.414734
999,16,36,0.423025
999,16,37,0.423445
999,16,38,0.423105
999,16,39,0.415254
999,16,40,0.427936
999,16,41,0.417475
999,16,42,0.420065
999,16,43,0.431765
999,16,44,0.433356
999,16,45,0.433656
999,16,46,0.414204
999,16,47,0.438346
999,16,48,0.413514
999,16,49,0.409835
999,32,0,0.55175
999,32,1,0.543299
999,32,2,0.555869
999,32,3,0.549329
999,32,4,0.56232
999,32,5,0.557379
999,32,6,0.55699
999,32,7,0.537769
999,32,8,0.56321
999,32,9,0.538179
999,32,10,0.538979
999,32,11,0.545299
999,32,12,0.56419
999,32,13,0.549509
999,32,14,0.550589
999,32,15,0.534868
999,32,16,0.581271
999,32,17,0.551489
999,32,18,0.534669
999,32,19,0.533069
999,32,20,0.525978
999,32,21,0.55579
999,32,22,0.539799
999,32,23,0.554819
999,32,24,0.537069
999,32,25,0.592571
999,32,26,0.582781
999,32,27,0.541699
999,32,28,0.539849
999,32,29,0.533778
999,32,30,0.544869
999,32,31,0.543899
999,32,32,0.547999
999,32,33,0.531259
999,32,34,0.541969
999,32,35,0.534069
999,32,36,0.537749
999,32,37,0.534439
999,32,38,0.559829
999,32,39,0.54746
999,32,40,0.538318
999,32,41,0.542799
999,32,42,0.559099
999,32,43,0.54647
999,32,44,0.55541
999,32,45,0.541099
999,32,46,0.533899
999,32,47,0.535379
999,32,48,0.534798
999,32,49,0.531738
999,64,0,0.807048
999,64,1,0.794248
999,64,2,0.789128
999,64,3,0.780507
999,64,4,0.816289
999,64,5,0.808449
999,64,6,0.803328
999,64,7,0.785848
999,64,8,0.812418
999,64,9,0.806588
999,64,10,0.788817
999,64,11,0.782078
999,64,12,0.812959
999,64,13,0.807879
999,64,14,0.811839
999,64,15,0.822658
999,64,16,0.815089
999,64,17,0.810179
999,64,18,0.802708
999,64,19,0.799488
999,64,20,0.814479
999,64,21,0.801988
999,64,22,0.801108
999,64,23,0.808698
999,64,24,0.799519
999,64,25,0.789947
999,64,26,0.810039
999,64,27,0.793118
999,64,28,0.798268
999,64,29,0.789078
999,64,30,0.781647
999,64,31,0.777857
999,64,32,0.780427
999,64,33,0.777577
999,64,34,8.13561
999,64,35,0.803098
999,64,36,0.819919
999,64,37,0.822369
999,64,38,0.812819
999,64,39,0.800438
999,64,40,0.809798
999,64,41,0.794178
999,64,42,0.792538
999,64,43,0.786728
999,64,44,0.807998
999,64,45,0.797088
999,64,46,0.786808
999,64,47,0.789288
999,64,48,0.787117
999,64,49,0.785097
999,100,0,1.14837
999,100,1,0.911312
999,100,2,1.02695
999,100,3,1.01655
999,100,4,1.0321
999,100,5,1.02496
999,100,6,1.01652
999,100,7,1.02103
999,100,8,1.01286
999,100,9,1.01339
999,100,10,1.01701
999,100,11,1.01773
999,100,12,1.0282
999,100,13,1.02271
999,100,14,1.01345
999,100,15,1.15755
999,100,16,1.06973
999,100,17,1.07326
999,100,18,1.07015
999,100,19,1.06191
999,100,20,1.06076
999,100,21,1.06938
999,100,22,1.05978
999,100,23,1.1699
999,100,24,1.02081
999,100,25,1.01791
999,100,26,1.01576
999,100,27,1.01298
999,100,28,1.01975
999,100,29,1.01189
999,100,30,1.01119
999,100,31,1.02112
999,100,32,1.01061
999,100,33,1.01937
999,100,34,1.02062
999,100,35,1.02613
999,100,36,1.0519
999,100,37,1.05844
999,100,38,1.03619
999,100,39,1.04186
999,100,40,1.03211
999,100,41,1.02976
999,100,42,1.02482
999,100,43,1.03536
999,100,44,1.02981
999,100,45,1.02349
999,100,46,1.0211
999,100,47,1.02009
999,100,48,1.02109
999,100,49,1.01623
999,200,0,1.10512
999,200,1,1.04067
999,200,2,1.02714
999,200,3,1.02118
999,200,4,1.01222
999,200,5,1.0269
999,200,6,1.01098
999,200,7,1.00629
999,200,8,1.00347
999,200,9,1.00301
999,200,10,1.00442
999,200,11,1.00998
999,200,12,1.00566
999,200,13,1.00554
999,200,14,0.998405
999,200,15,1.00549
999,200,16,0.995095
999,200,17,1.00829
999,200,18,1.00689
999,200,19,1.00329
999,200,20,0.998645
999,200,21,1.00446
999,200,22,1.00016
999,200,23,11.1202
999,200,24,1.24053
999,200,25,1.0061
999,200,26,1.00329
999,200,27,1.01719
999,200,28,1.00601
999,200,29,0.995985
999,200,30,1.00209
999,200,31,1.00653
999,200,32,1.00577
999,200,33,0.999355
999,200,34,0.995575
999,200,35,1.00423
999,200,36,1.00125
999,200,37,0.998325
999,200,38,0.997945
999,200,39,1.00074
999,200,40,1.0003
999,200,41,1.00409
999,200,42,0.996455
999,200,43,1.00214
999,200,44,1.00574
999,200,45,1.00518
999,200,46,0.998375
999,200,47,1.00782
999,200,48,1.00452
999,200,49,0.999925
999,400,0,1.28549
999,400,1,1.09781
999,400,2,1.08928
999,400,3,1.10183
999,400,4,1.08297
999,400,5,1.07762
999,400,6,1.08471
999,400,7,1.08354
999,400,8,1.07785
999,400,9,1.22669
999,400,10,1.13291
999,400,11,1.13426
999,400,12,1.12488
999,400,13,1.12252
999,400,14,1.12063
999,400,15,1.13165
999,400,16,1.12983
999,400,17,1.08966
999,400,18,1.07625
999,400,19,1.07429
999,400,20,1.08087
999,400,21,1.08151
999,400,22,1.07945
999,400,23,1.08061
999,400,24,1.07451
999,400,25,1.07202
999,400,26,1.08621
999,400,27,1.08513
999,400,28,1.07763
999,400,29,1.0784
999,400,30,1.0755
999,400,31,1.07673
999,400,32,1.07033
999,400,33,1.1019
999,400,34,1.08441
999,400,35,1.08308
999,400,36,1.10499
999,400,37,1.07517
999,400,38,1.06381
999,400,39,1.07021
999,400,40,1.06664
999,400,41,1.08181
999,400,42,1.06527
999,400,43,1.07169
999,400,44,1.08166
999,400,45,1.078
999,400,46,1.06973
999,400,47,1.0788
999,400,48,1.06386
999,400,49,1.07607
999,800,0,1.61807
999,800,1,1.63358
999,800,2,11.7322
999,800,3,1.95994
999,800,4,1.61676
999,800,5,1.63104
999,800,6,1.62068
999,800,7,1.61936
999,800,8,1.6203
999,800,9,1.64066
999,800,10,1.61221
999,800,11,1.62331
999,800,12,1.61119
999,800,13,1.62897
999,800,14,1.6192
999,800,15,1.63355
999,800,16,1.61007
999,800,17,1.62319
999,800,18,1.61869
999,800,19,1.63199
999,800,20,1.61748
999,800,21,1.63417
999,800,22,1.6229
999,800,23,1.62074
999,800,24,1.6222
999,800,25,1.62873
999,800,26,1.62124
999,800,27,1.62417
999,800,28,1.61978
999,800,29,1.62744
999,800,30,1.61305
999,800,31,1.70289
999,800,32,1.64817
999,800,33,1.64364
999,800,34,1.63874
999,800,35,1.64703
999,800,36,1.64479
999,800,37,1.64501
999,800,38,1.74974
999,800,39,1.63117
999,800,40,1.62034
999,800,41,1.63186
999,800,42,1.60945
999,800,43,1.62978
999,800,44,1.62396
999,800,45,1.62453
999,800,46,1.61421
999,800,47,1.62145
999,800,48,1.61026
999,800,49,1.62048
999,1600,0,2.33149
999,1600,1,2.31911
999,1600,2,2.3018
999,1600,3,2.27956
999,1600,4,12.6543
999,1600,5,2.30651
999,1600,6,2.29128
999,1600,7,2.2755
999,1600,8,2.26703
999,1600,9,2.2765
999,1600,10,2.28049
999,1600,11,2.31992
999,1600,12,2.31816
999,1600,13,2.29743
999,1600,14,2.24371
999,1600,15,2.23688
999,1600,16,2.30327
999,1600,17,2.27925
999,1600,18,2.31096
999,1600,19,2.2863
999,1600,20,2.2556
999,1600,21,2.29021
999,1600,22,2.27746
999,1600,23,2.23686
999,1600,24,2.27506
999,1600,25,2.27922
999,1600,26,2.2569
999,1600,27,2.26476
999,1600,28,2.27734
999,1600,29,2.27888
999,1600,30,2.29455
999,1600,31,2.29347
999,1600,32,2.23905
999,1600,33,2.27557
999,1600,34,2.29484
999,1600,35,2.27522
999,1600,36,2.23991
999,1600,37,2.26197
999,1600,38,2.26963
999,1600,39,2.28001
999,1600,40,2.27647
999,1600,41,2.29873
999,1600,42,2.48775
999,1600,43,2.29468
999,1600,44,11.0553
999,1600,45,2.27021
999,1600,46,2.30542
999,1600,47,2.2521
999,1600,48,2.2279
999,1600,49,2.22959
999,3200,0,3.65486
999,3200,1,3.84286
999,3200,2,3.92673
999,3200,3,3.85333
999,3200,4,3.90453
999,3200,5,3.85324
999,3200,6,3.88243
999,3200,7,3.84731
999,3200,8,3.86804
999,3200,9,3.85209
999,3200,10,3.8741
999,3200,11,3.86391
999,3200,12,3.88346
999,3200,13,3.84187
999,3200,14,3.86989
999,3200,15,3.85589
999,3200,16,3.87766
999,3200,17,3.84534
