ensemble_size,batch_size,trial_num,predict_ms,optimised
999,200,37,0.21641328930854797,False
999,200,38,0.21984241902828217,False
999,200,39,0.22815261036157608,False
999,200,40,0.21807290613651276,False
999,200,41,0.2169627696275711,False
999,200,42,0.2168836072087288,False
999,200,43,0.2186419442296028,False
999,200,44,0.21917279809713364,False
999,200,45,0.2163732424378395,False
999,200,46,0.21651387214660645,False
999,200,47,0.21686311811208725,False
999,200,48,0.2180030569434166,False
999,200,49,0.21879374980926514,False
999,400,0,0.254092738032341,False
999,400,1,0.22873282432556152,False
999,400,2,0.22523291409015656,False
999,400,3,0.22132322192192078,False
999,400,4,0.22065266966819763,False
999,400,5,0.2206629142165184,False
999,400,6,0.22712256759405136,False
999,400,7,0.22166315466165543,False
999,400,8,0.21970272064208984,False
999,400,9,0.21988339722156525,False
999,400,10,0.22757332772016525,False
999,400,11,0.22594258189201355,False
999,400,12,0.2202829346060753,False
999,400,13,0.2186531201004982,False
999,400,14,0.21866243332624435,False
999,400,15,0.22478215396404266,False
999,400,16,0.22100191563367844,False
999,400,17,0.2196226269006729,False
999,400,18,0.21956302225589752,False
999,400,19,0.21971296519041061,False
999,400,20,0.2212226390838623,False
999,400,21,0.2184426411986351,False
999,400,22,0.21831318736076355,False
999,400,23,0.21790340542793274,False
999,400,24,0.21969154477119446,False
999,400,25,0.22077374160289764,False
999,400,26,0.21894369274377823,False
999,400,27,0.21772272884845734,False
999,400,28,0.21943263709545135,False
999,400,29,0.22058282047510147,False
999,400,30,0.21881330758333206,False
999,400,31,0.2182135358452797,False
999,400,32,0.218123197555542,False
999,400,33,0.22982247173786163,False
999,400,34,0.2235928550362587,False
999,400,35,0.21957140415906906,False
999,400,36,0.21931249648332596,False
999,400,37,0.219833105802536,False
999,400,38,0.2207830548286438,False
999,400,39,0.21898280829191208,False
999,400,40,0.21950248628854752,False
999,400,41,0.21893251687288284,False
999,400,42,0.2202829346060753,False
999,400,43,0.22148247808218002,False
999,400,44,0.21896231919527054,False
999,400,45,0.21807197481393814,False
999,400,46,0.2205129712820053,False
999,400,47,0.21943263709545135,False
999,400,48,0.21866243332624435,False
999,400,49,0.21804310381412506,False
999,800,0,0.2588042989373207,False
999,800,1,0.23182295262813568,False
999,800,2,0.2267630770802498,False
999,800,3,0.22549275308847427,False
999,800,4,0.22932328283786774,False
999,800,5,0.2311132848262787,False
999,800,6,0.2254033461213112,False
999,800,7,0.22401288151741028,False
999,800,8,0.22606272250413895,False
999,800,9,0.22582244127988815,False
999,800,10,0.22375304251909256,False
999,800,11,0.22311322391033173,False
999,800,12,0.22311322391033173,False
999,800,13,0.22414326667785645,False
999,800,14,0.2252236008644104,False
999,800,15,0.2228226512670517,False
999,800,16,0.22336188703775406,False
999,800,17,0.22354349493980408,False
999,800,18,0.22556353360414505,False
999,800,19,0.22334326058626175,False
999,800,20,0.22302288562059402,False
999,800,21,0.22245384752750397,False
999,800,22,0.22399332374334335,False
999,800,23,0.22481288760900497,False
999,800,24,0.22348295897245407,False
999,800,25,0.2226121723651886,False
999,800,26,0.22881291806697845,False
999,800,27,0.22976286709308624,False
999,800,28,0.2241525799036026,False
999,800,29,0.22336281836032867,False
999,800,30,0.2229427918791771,False
999,800,31,0.23055262863636017,False
999,800,32,0.22478308528661728,False
999,800,33,0.22286269813776016,False
999,800,34,0.22346246987581253,False
999,800,35,0.22396352142095566,False
999,800,36,0.2249227836728096,False
999,800,37,0.2224314957857132,False
999,800,38,0.22287294268608093,False
999,800,39,0.22302288562059402,False
999,800,40,0.23040268570184708,False
999,800,41,0.22334232926368713,False
999,800,42,0.22181309759616852,False
999,800,43,0.22246316075325012,False
999,800,44,0.2238331362605095,False
999,800,45,0.2246033400297165,False
999,800,46,0.22275280207395554,False
999,800,47,0.2226429060101509,False
999,800,48,0.22703316062688828,False
999,800,49,0.22840313613414764,False
999,1600,0,0.26654358953237534,False
999,1600,1,0.24145375937223434,False
999,1600,2,0.2343626692891121,False
999,1600,3,0.2356627956032753,False
999,1600,4,0.24027284234762192,False
999,1600,5,0.23311376571655273,False
999,1600,6,0.23062247782945633,False
999,1600,7,0.22914353758096695,False
999,1600,8,0.2298029139637947,False
999,1600,9,0.23032259196043015,False
999,1600,10,0.23817364126443863,False
999,1600,11,0.2290625125169754,False
999,1600,12,0.22885296493768692,False
999,1600,13,0.229543074965477,False
999,1600,14,0.23173261433839798,False
999,1600,15,0.2291528508067131,False
999,1600,16,0.22837240248918533,False
999,1600,17,0.2296632155776024,False
999,1600,18,0.23435335606336594,False
999,1600,19,0.2343636006116867,False
999,1600,20,0.2292729914188385,False
999,1600,21,0.2274131402373314,False
999,1600,22,0.22896286100149155,False
999,1600,23,0.2301931381225586,False
